center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,eede1c40-616b-4493-8ec1-6406a73b3277,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-01T09:10:21.009Z,2023-12-01T09:11:01.420Z,2023-12-01T01:10:21.009Z,2023-12-01T01:11:01.420Z,45,ascending,left,3804,167.962534703112,147.30655174771042,33.28659,33.792178,49.602978,49.999912
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,57d44df3-9628-4fc0-81ca-cc619fb02c21,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-01T10:24:43.569Z,2023-12-01T10:28:01.809Z,2023-12-01T02:24:43.569Z,2023-12-01T02:28:01.809Z,45,ascending,left,8345,235.03434299660407,110.20112747357597,33.35136,56.785759,30.151127,49.999696
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,002ba73d-09f9-436c-92e5-367763b817f2,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-01T10:49:42.974Z,2023-12-01T10:52:28.090Z,2023-12-01T02:49:42.974Z,2023-12-01T02:52:28.090Z,45,ascending,left,9828,241.4612749577655,122.96779383241504,33.281088,57.388846,29.583963,49.998945
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,671ec015-0065-409e-b888-0d8cb33a769b,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-02T08:46:55.063Z,2023-12-02T08:48:25.014Z,2023-12-02T00:46:55.063Z,2023-12-02T00:48:25.014Z,45,ascending,left,2423,183.10657155173215,135.32269696419624,33.379112,36.163147,47.782373,49.999346
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,4dd351f0-73b4-46dd-b8ba-6c28ccbafcad,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-02T09:13:44.057Z,2023-12-02T09:16:15.393Z,2023-12-02T01:13:44.057Z,2023-12-02T01:16:15.393Z,45,ascending,left,4063,204.88632732993773,120.65251618388436,33.289535,42.650017,42.375573,49.999805
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,01b9da56-cacf-46da-8e3b-73f97e0046bf,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-02T10:26:34.334Z,2023-12-02T10:28:53.485Z,2023-12-02T02:26:34.334Z,2023-12-02T02:28:53.485Z,45,ascending,left,8427,243.54032140120177,138.1181692281178,33.371451,54.652218,32.043356,49.999127
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,30edf8aa-5c84-4288-b9ad-86504330e5a7,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-03T08:48:11.456Z,2023-12-03T08:50:49.147Z,2023-12-03T00:48:11.456Z,2023-12-03T00:50:49.147Z,45,ascending,left,2533,209.14749060198858,118.76306557717167,33.380532,44.335204,41.004822,49.999995
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,b3a398b5-cb0f-43f1-a412-255983641a3d,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-03T09:17:47.003Z,2023-12-03T09:20:53.752Z,2023-12-03T01:17:47.003Z,2023-12-03T01:20:53.752Z,45,ascending,left,4323,223.82109488689943,112.22417965359793,33.291635,51.177945,35.061567,49.998769
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,799dde70-a1fa-4197-994f-dc6f6b08e60b,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-04T08:49:49.310Z,2023-12-04T08:52:55.198Z,2023-12-04T00:49:49.310Z,2023-12-04T00:52:55.198Z,45,ascending,left,2645,225.51230227789213,112.07248096692622,33.382684,51.96048,34.41959,49.999739
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,1051c8aa-a0c1-40b0-aaf6-e79a56646844,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-04T09:22:01.569Z,2023-12-04T09:25:22.573Z,2023-12-04T01:22:01.569Z,2023-12-04T01:25:22.573Z,45,ascending,left,4585,236.8081041656845,110.14781916243707,33.307663,57.706429,29.311366,49.999856
