center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,de3752c6-98c6-41b9-b001-84cc5b4ade34,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-01T20:19:35.222Z,2024-01-01T20:22:03.024Z,2024-01-01T12:19:35.222Z,2024-01-01T12:22:03.024Z,45,ascending,left,44012,204.37090233653973,121.42838790101271,33.348056,42.393552,42.631271,49.999976
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,998058ac-71d2-49c2-a8cd-bbb4584e1795,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-01T20:21:52.882Z,2024-01-01T20:24:10.788Z,2024-01-01T12:21:52.882Z,2024-01-01T12:24:10.788Z,45,ascending,left,44145,198.92510264649476,124.1705372683161,33.241486,40.448293,44.188696,49.999445
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,4e5e1f5a-ff38-4c9e-a3c1-91d66fb9593f,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-02T20:21:09.671Z,2024-01-02T20:24:11.687Z,2024-01-02T12:21:09.671Z,2024-01-02T12:24:11.687Z,45,ascending,left,44123,222.22786486119202,113.13659035410662,33.34966,50.287893,35.866799,49.999663
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,a943e301-b1e9-4627-abd2-ce2de1eeaa14,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-02T20:25:50.912Z,2024-01-02T20:28:52.992Z,2024-01-02T12:25:50.912Z,2024-01-02T12:28:52.992Z,45,ascending,left,44405,219.9179821634916,113.55866356032165,33.242892,49.21914,36.743148,49.99903
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,d25861ab-bd82-4d43-bbb3-5bd59410870d,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-03T20:22:54.638Z,2024-01-03T20:26:12.548Z,2024-01-03T12:22:54.638Z,2024-01-03T12:26:12.548Z,45,ascending,left,44236,234.79391822244938,110.30481448040103,33.348982,56.628075,30.291192,49.999719
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,863a67aa-4530-455f-84e9-671205a3c039,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-03T20:30:03.198Z,2024-01-03T20:33:24.404Z,2024-01-03T12:30:03.198Z,2024-01-03T12:33:24.404Z,45,ascending,left,44667,234.14546307987348,109.9220552769668,33.243355,56.435022,30.421436,49.999648
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,0dd82484-1a36-4d10-96b5-9b922ee847e6,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-04T18:45:05.535Z,2024-01-04T18:46:36.318Z,2024-01-04T10:45:05.535Z,2024-01-04T10:46:36.318Z,45,ascending,left,38314,183.11907818127753,135.33621602494938,33.318224,36.111253,47.785601,49.999841
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,c39428a9-e02d-4b40-9274-215f35180950,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-04T18:54:31.470Z,2024-01-04T18:56:08.406Z,2024-01-04T10:54:31.470Z,2024-01-04T10:56:08.406Z,45,ascending,left,38883,184.27462436624901,133.97198282983902,33.21495,36.325556,47.538321,49.999311
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,13c12f16-e658-4f84-8a07-11971c01425c,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-04T20:24:45.190Z,2024-01-04T20:27:05.192Z,2024-01-04T12:24:45.190Z,2024-01-04T12:27:05.192Z,45,ascending,left,44318,243.41797467147921,137.6924367374187,33.347911,54.65165,32.039961,49.99992
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,13b8fcf2-6775-4239-8a1b-ca8650dd819e,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-04T20:34:22.459Z,2024-01-04T20:36:45.739Z,2024-01-04T12:34:22.459Z,2024-01-04T12:36:45.739Z,45,ascending,left,44897,243.70428675230428,136.84034300580188,33.245095,54.878552,31.796812,49.998322
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,ae06c5e4-0aaf-4008-939a-a7773f860fd5,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-05T18:46:21.417Z,2024-01-05T18:49:00.756Z,2024-01-05T10:46:21.417Z,2024-01-05T10:49:00.756Z,45,ascending,left,38424,209.14770849958254,118.71084557561298,33.317393,44.300867,41.00115,49.999672
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,a67b5b10-5e33-4054-862b-ecdfe4aa1f73,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-05T18:58:15.430Z,2024-01-05T19:01:02.623Z,2024-01-05T10:58:15.430Z,2024-01-05T11:01:02.623Z,45,ascending,left,39142,211.30668834188504,117.20136972641382,33.215082,45.250636,40.136029,49.999521
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,f65f2c47-dfd7-4fea-98fb-d7c5d97d46b6,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-06T18:47:58.959Z,2024-01-06T18:51:06.972Z,2024-01-06T10:47:58.959Z,2024-01-06T10:51:06.972Z,45,ascending,left,38536,225.51838061135902,111.9483372210931,33.318375,51.966622,34.386608,49.999822
