center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,c557bcc1-fd36-48aa-8e3b-4436548be780,43184453-3598-47cd-8de9-b7b760b27b4f,e73a63de-f7b9-49b1-be01-cabb3e7de083,2023-11-14T16:19:37.893Z,2023-11-14T16:21:29.816Z,2023-11-14T08:19:37.893Z,2023-11-14T08:21:29.816Z,45,ascending,left,29597,188.75149234600497,130.42946452873582,33.178851,37.414815,46.630862,49.999467
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,e62ba6e2-dea4-414a-b93b-4440243f0ee3,43184453-3598-47cd-8de9-b7b760b27b4f,a07b759e-5bfd-41b4-8de2-a1a30e26db71,2023-11-14T16:35:42.780Z,2023-11-14T16:38:22.017Z,2023-11-14T08:35:42.780Z,2023-11-14T08:38:22.017Z,45,ascending,left,30585,208.30733586931788,118.87459807791025,33.275782,43.98657,41.24036,49.999706
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,8a9c6604-025f-4921-a552-c34ca1d6264a,43184453-3598-47cd-8de9-b7b760b27b4f,e73a63de-f7b9-49b1-be01-cabb3e7de083,2023-11-14T17:59:35.802Z,2023-11-14T18:01:52.407Z,2023-11-14T09:59:35.802Z,2023-11-14T10:01:52.407Z,45,ascending,left,35607,244.66535436916865,143.5661830514103,33.190854,53.834172,32.69171,49.998753
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,4269924c-e777-4ca8-9e39-cfdd94488d61,43184453-3598-47cd-8de9-b7b760b27b4f,e73a63de-f7b9-49b1-be01-cabb3e7de083,2023-11-15T16:23:26.529Z,2023-11-15T16:26:19.811Z,2023-11-15T08:23:26.529Z,2023-11-15T08:26:19.811Z,45,ascending,left,29856,213.65251483666282,115.85615705452301,33.183633,46.328703,39.195748,49.999962
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,3a8d29d4-b77b-4e32-bb52-140aaf36d312,43184453-3598-47cd-8de9-b7b760b27b4f,a07b759e-5bfd-41b4-8de2-a1a30e26db71,2023-11-15T16:37:19.736Z,2023-11-15T16:40:28.600Z,2023-11-15T08:37:19.736Z,2023-11-15T08:40:28.600Z,45,ascending,left,30697,224.89574806958257,111.90422624265668,33.281008,51.707057,34.5929,49.999852
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,ed43d25c-4321-455f-8a22-828974d792aa,43184453-3598-47cd-8de9-b7b760b27b4f,e73a63de-f7b9-49b1-be01-cabb3e7de083,2023-11-16T16:27:35.053Z,2023-11-16T16:30:53.823Z,2023-11-16T08:27:35.053Z,2023-11-16T08:30:53.823Z,45,ascending,left,30117,229.77582453603335,110.28260911479913,33.189393,54.298081,32.280945,49.999038
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,4a255f2c-97de-4248-b67b-a771449ece76,43184453-3598-47cd-8de9-b7b760b27b4f,a07b759e-5bfd-41b4-8de2-a1a30e26db71,2023-11-16T16:39:05.911Z,2023-11-16T16:42:28.133Z,2023-11-16T08:39:05.911Z,2023-11-16T08:42:28.133Z,45,ascending,left,30810,236.68281896409283,109.97678834943797,33.283573,57.651809,29.3539,49.998811
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,7e04cbcf-a8db-40d0-a7cd-879ca03ba100,43184453-3598-47cd-8de9-b7b760b27b4f,e73a63de-f7b9-49b1-be01-cabb3e7de083,2023-11-17T14:52:44.285Z,2023-11-17T14:52:59.812Z,2023-11-17T06:52:44.285Z,2023-11-17T06:52:59.812Z,45,ascending,left,24335,161.04201795159938,153.27499045741075,33.186441,33.258035,49.944405,49.999988
"[-121.74456289285206, 46.79641971068774, 1589]","[-2301990.661244861, -3720764.4812013116, 4627458.836951785]",9,050ae6a2-10b4-483c-950e-83032b8e08bd,43184453-3598-47cd-8de9-b7b760b27b4f,34ddc2b4-7cce-42dc-bdf5-80ea22f83e5f,2023-11-17T15:01:08.094Z,2023-11-17T15:02:58.910Z,2023-11-17T07:01:08.094Z,2023-11-17T07:02:58.910Z,45,ascending,left,24886,189.2223322842946,130.51479851610128,33.276721,37.566028,46.575129,49.999738
"[-121.7445629415389, 46.79641971050866, 1589]","[-2301990.664414201, -3720764.479257549, 4627458.836938152]",10,45627954-e205-4a28-bbae-c818749adb8a,43184453-3598-47cd-8de9-b7b760b27b4f,951dcb65-990d-496e-95bb-6297d54f9dbb,2023-11-17T16:31:52.290Z,2023-11-17T16:34:46.616Z,2023-11-17T08:31:52.290Z,2023-11-17T08:34:46.616Z,45,ascending,left,30362,240.88986161386686,119.69552153119744,33.190775,57.957177,29.048791,49.999908
