center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,f5f5ccda-f6cf-4bff-8139-3d485ab07521,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-15T19:39:54.430Z,2023-12-15T19:41:29.388Z,2023-12-15T11:39:54.430Z,2023-12-15T11:41:29.388Z,53,ascending,left,41605,194.89620964545966,94.62591194208049,46.217352,58.953343,28.626306,39.999174
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,8caf6c4f-c57c-4e60-96b2-d92cf34063ff,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-16T19:12:45.862Z,2023-12-16T19:14:04.406Z,2023-12-16T11:12:45.862Z,2023-12-16T11:14:04.406Z,53,ascending,left,39968,183.22578860067014,104.39612679324809,46.215427,53.85348,33.226234,39.999512
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,25894592-5ad0-47af-9cb9-d57e6b94ae81,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-17T18:45:42.475Z,2023-12-17T18:46:34.514Z,2023-12-17T10:45:42.475Z,2023-12-17T10:46:34.514Z,53,ascending,left,38331,167.75113523874418,117.98894383953072,46.214054,49.160893,37.407526,39.999134
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,cfeddd88-0bac-4616-86fc-f020e96f50c6,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-19T19:29:20.385Z,2023-12-19T19:29:58.718Z,2023-12-19T11:29:20.385Z,2023-12-19T11:29:58.718Z,53,ascending,right,40942,321.9574044278671,357.95393634290616,46.204046,47.709952,38.679013,39.999815
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,332ec0d8-dad4-4545-a334-6052a2168754,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-20T19:01:50.413Z,2023-12-20T19:02:51.378Z,2023-12-20T11:01:50.413Z,2023-12-20T11:02:51.378Z,53,ascending,right,39304,309.48199575592906,8.344566764110892,46.204162,50.31096,36.379639,39.998743
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,ac64c596-5c82-4705-91d5-95e9bdfd4866,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-21T18:34:24.066Z,2023-12-21T18:35:40.613Z,2023-12-21T10:34:24.066Z,2023-12-21T10:35:40.613Z,53,ascending,right,37665,299.7827082781684,15.964673088658172,46.203272,53.224438,33.782324,39.999768
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,6248ad30-75f7-450e-bee2-be708a3cc1da,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-22T18:06:59.557Z,2023-12-22T18:08:28.226Z,2023-12-22T10:06:59.557Z,2023-12-22T10:08:28.226Z,53,ascending,right,36027,291.2272128901682,22.452585722646567,46.205291,56.483899,30.853367,39.998517
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,70163f82-42ba-48bf-8c73-6c62b82c2722,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2023-12-23T17:39:36.313Z,2023-12-23T17:41:14.797Z,2023-12-23T09:39:36.313Z,2023-12-23T09:41:14.797Z,53,ascending,right,34388,283.27704562876875,28.34659831743625,46.204707,60.122164,27.559759,39.999746
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,b5ed2d2d-cc83-42d1-8a7e-d2f8c610908c,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2024-01-03T12:39:23.560Z,2024-01-03T12:41:00.423Z,2024-01-03T04:39:23.560Z,2024-01-03T04:41:00.423Z,53,ascending,left,16375,196.41847933739294,93.35666302869917,46.216661,59.727229,27.92417,39.999071
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,d7fed2d2-64d8-4fe5-8a58-c74742b8ccec,039ff86b-b97c-482d-8d3b-442eac8a1047,15dd23f3-b6a0-42a5-8d5c-a52929f8c080,2024-01-04T12:12:14.553Z,2024-01-04T12:13:35.843Z,2024-01-04T04:12:14.553Z,2024-01-04T04:13:35.843Z,53,ascending,left,14738,185.0366332084657,102.83078334746986,46.216161,54.559818,32.593322,39.999544
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,20047cb4-a2a4-4861-ae61-8f08b0b364cc,039ff86b-b97c-482d-8d3b-442eac8a1047,20e034b2-1845-41b9-8b2c-52b5d56a6769,2023-12-17T00:08:00.875Z,2023-12-17T00:09:40.668Z,2023-12-16T16:08:00.875Z,2023-12-16T16:09:40.668Z,53,descending,right,57694,330.4958087589695,78.32479018806315,46.219339,60.935428,26.828864,39.999678
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,4d04f1a4-0d1b-42d6-9f35-c7a0b89da5c5,039ff86b-b97c-482d-8d3b-442eac8a1047,20e034b2-1845-41b9-8b2c-52b5d56a6769,2023-12-17T23:40:47.263Z,2023-12-17T23:42:17.736Z,2023-12-17T15:40:47.263Z,2023-12-17T15:42:17.736Z,53,descending,right,56055,336.3101896461279,70.45597144125001,46.218219,57.209396,30.207012,39.999993
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,26a2a35d-f01c-420d-9f05-48d634188501,039ff86b-b97c-482d-8d3b-442eac8a1047,20e034b2-1845-41b9-8b2c-52b5d56a6769,2023-12-18T23:13:34.620Z,2023-12-18T23:14:53.584Z,2023-12-18T15:13:34.620Z,2023-12-18T15:14:53.584Z,53,descending,right,54417,342.6470528758611,62.041840256339206,46.214926,53.872908,33.209711,39.99916
